Date,Close,High,Low,Open,Volume,Ticker
2020-04-16,87.4276351928711,90.46452656449684,86.43800401688976,89.90549614966191,6754650,IBM
2020-04-17,90.74403381347656,90.94800321178498,89.08205066723282,90.12456561425145,5194436,IBM
2020-04-20,90.96312713623047,92.8139660259046,89.24826585973597,90.01126575783518,8558058,IBM
2020-04-21,88.20572662353516,88.50034972883275,84.65513538155224,86.12070296190083,15009054,IBM
2020-04-22,90.13213348388672,90.90268734237267,88.80255520213078,90.5551863256062,7412479,IBM
2020-04-23,91.67323303222656,92.94237938687155,89.98859387835027,90.32854088807262,7198154,IBM
2020-04-24,94.2190933227539,94.43061672741865,91.22753166456154,92.47401619120106,5215251,IBM
2020-04-27,95.12561798095703,95.93394768708716,94.78567096820893,94.85365675353135,5150295,IBM
2020-04-28,95.3900146484375,96.8480223137059,94.71766864497496,96.71959870474497,4997893,IBM
2020-04-29,97.21819305419922,97.68656967574462,96.34187764343126,97.36172461648769,5499450,IBM
2020-04-30,94.8536376953125,96.14545175885213,94.59679050049904,95.57886748939941,6941047,IBM
2020-05-01,92.06604766845703,93.2747620013219,91.70343879443737,93.06323865096604,5152073,IBM
2020-05-04,91.92251586914062,92.14159319364735,90.19254713984625,91.27283184163664,4202723,IBM
2020-05-05,92.60242462158203,93.91690075132817,92.51932486295308,93.21433280506137,4078772,IBM
2020-05-06,93.04814147949219,93.71292750655434,92.47400315990177,93.1010193088507,4042372,IBM
2020-05-07,92.81082153320312,94.36494209756292,92.51990238268472,94.15058190445775,4615580,IBM
2020-05-08,94.15821075439453,94.34194975677576,92.6806495622722,93.91322949092832,5232615,IBM
2020-05-11,93.85198211669922,94.51037919729492,92.38207619160661,93.2548334074019,3697924,IBM
2020-05-12,92.06819915771484,95.17643971303757,92.06819915771484,94.17353038602343,5004587,IBM
2020-05-13,88.60015106201172,91.86151006402736,87.92644324257104,91.83088281571315,6153409,IBM
2020-05-14,89.53414916992188,89.6413292558686,85.59908268774525,87.71207548969902,5501332,IBM
2020-05-15,89.55712127685547,89.8710062725907,88.23267151372738,88.75326752133012,5006470,IBM
2020-05-18,93.0634536743164,93.67591304482852,91.67776175196798,91.77728655241529,4399162,IBM
2020-05-19,92.09117126464844,93.53045627994402,91.97633589669333,92.78018958194323,3390191,IBM
2020-05-20,92.92565155029297,93.760126365324,92.32849664385414,92.5811393392538,4017372,IBM
2020-05-21,91.19544219970703,93.18593807512093,91.08060683913527,92.62706572949944,4184941,IBM
2020-05-22,90.63656616210938,91.46339172176106,90.02410685763196,91.3868327813105,4373117,IBM
2020-05-26,93.21656799316406,93.87495904188522,92.64238506426514,92.86440050837892,5720888,IBM
2020-05-27,96.11044311523438,96.33245856104897,94.52570164068882,94.88552441185068,5990965,IBM
2020-05-28,95.33720397949219,97.2052091493787,95.09987798276856,97.12865631789597,4095404,IBM
2020-05-29,95.6204605102539,95.7965442283956,93.5840270469018,94.67880576858141,8294675,IBM
2020-06-01,95.61282348632812,96.27122067966684,94.95442629298941,95.42142916650516,3003798,IBM
2020-06-02,96.46260833740234,96.46260833740234,95.43673314332423,96.2099656532414,3115093,IBM
2020-06-03,98.79761505126953,99.21868007608025,97.22818420290551,97.3430195633481,4097914,IBM
2020-06-04,98.67513275146484,98.72107056810896,97.2435090135836,97.82534729397786,4042581,IBM
2020-06-05,101.10198974609375,102.7632961136242,100.86466375619705,102.50299205581653,6163764,IBM
2020-06-08,103.92698669433594,104.02651149562095,101.26277680201198,101.26277680201198,5617543,IBM
2020-06-09,100.95653533935547,102.28097873750143,100.30579351012923,102.2197364728161,5641706,IBM
2020-06-10,99.4253921508789,101.23215524399683,99.37180516325269,101.17090686285981,4952601,IBM
2020-06-11,90.34564971923828,96.5391649312649,90.21550379335919,96.48557183851251,12304726,IBM
2020-06-12,93.33141326904297,94.257757671543,91.31794516225166,92.82613394862798,6506434,IBM
2020-06-15,93.13235473632812,93.68356571055861,90.56001445485118,91.24903275481229,5385959,IBM
2020-06-16,95.81185913085938,97.61096058742356,94.28836618783316,95.6970237776094,5864608,IBM
2020-06-17,95.04627990722656,96.65399314664101,94.47209704383306,96.33244683302017,3302013,IBM
2020-06-18,95.05393981933594,95.23767883333547,93.65293747454399,94.1658719913806,2997208,IBM
2020-06-19,93.7601089477539,97.09036452451379,93.59168051544265,96.59274061956049,8471554,IBM
2020-06-22,92.68832397460938,93.78309682264532,92.27491418871061,93.49217769376018,4993081,IBM
2020-06-23,91.4174575805664,94.08931644391157,91.2796563698788,93.40795345474174,6937700,IBM
2020-06-24,89.1283950805664,90.58299069578734,88.71497919340361,90.58299069578734,7061546,IBM
2020-06-25,91.1265640258789,91.26437138475809,88.88342484219338,89.38870423576428,6412608,IBM
2020-06-26,89.71788024902344,91.09591678562852,89.00589002111197,90.53704444381259,11244605,IBM
2020-06-29,91.6777572631836,91.70072311380139,89.85568369912477,90.32268654283935,4350837,IBM
2020-06-30,92.45864868164062,92.78784421541289,91.10357790822798,91.24903441073438,4099797,IBM
2020-07-01,90.75141143798828,92.81081111479529,90.62126550169062,92.07586109099812,4869967,IBM
2020-07-02,91.63946533203125,92.9562594995519,91.30261456217902,91.63181004927756,3919362,IBM
2020-07-06,92.01460266113281,93.28545907831,91.45573033822065,92.82611765468793,4231488,IBM
2020-07-07,90.0164566040039,91.49401796613184,89.82506229696557,91.10357406853872,4474893,IBM
2020-07-08,90.11597442626953,90.82795850515203,89.17431353097467,90.38392765730224,5431669,IBM
2020-07-09,88.58482360839844,90.33799343981511,88.1943797255027,90.33799343981511,4982098,IBM
2020-07-10,90.60594940185547,90.77437785706134,88.26328603414474,88.4240530963287,4482842,IBM
2020-07-13,91.2566909790039,92.62707233938268,90.84328120761907,91.70072799574021,4864632,IBM
2020-07-14,92.3284912109375,92.55051275791422,90.27674696180556,90.81265345642882,4742982,IBM
2020-07-15,94.16587829589844,94.90083440110273,93.51514252977643,93.70653073014576,4679176,IBM
2020-07-16,94.9390869140625,95.29890959243083,93.52277426482799,93.92087335171958,4530121,IBM
2020-07-17,95.78124237060547,96.17934153847484,94.31899162414255,95.23002531837233,4167892,IBM
